Entity,Code,Year,Annual CO2 emissions (per capita)
Brazil,BRA,1935,0.14372028
Brazil,BRA,1936,0.14709583
Brazil,BRA,1937,0.17272756
Brazil,BRA,1938,0.18052769
Brazil,BRA,1939,0.1381796
Brazil,BRA,1940,0.13602734
Brazil,BRA,1941,0.14752005
Brazil,BRA,1942,0.13438162
Brazil,BRA,1943,0.14447427
Brazil,BRA,1944,0.12814638
Brazil,BRA,1945,0.14445925
Brazil,BRA,1946,0.15386443
Brazil,BRA,1947,0.17976093
Brazil,BRA,1948,0.15357992
Brazil,BRA,1949,0.14034759
Brazil,BRA,1950,0.36808848
Brazil,BRA,1951,0.39367142
Brazil,BRA,1952,0.43979833
Brazil,BRA,1953,0.43157315
Brazil,BRA,1954,0.49266315
Brazil,BRA,1955,0.54787326
Brazil,BRA,1956,0.57170343
Brazil,BRA,1957,0.54480183
Brazil,BRA,1958,0.5735453
Brazil,BRA,1959,0.5556843
Brazil,BRA,1960,0.64723074
Brazil,BRA,1961,0.65861213
Brazil,BRA,1962,0.69749594
Brazil,BRA,1963,0.7013652
Brazil,BRA,1964,0.69489866
Brazil,BRA,1965,0.6714489
Brazil,BRA,1966,0.74486774
Brazil,BRA,1967,0.74658513
Brazil,BRA,1968,0.85103697
Brazil,BRA,1969,0.90373176
Brazil,BRA,1970,0.9802103
Brazil,BRA,1971,1.0470412
Brazil,BRA,1972,1.1385169
Brazil,BRA,1973,1.2871299
Brazil,BRA,1974,1.3608919
Brazil,BRA,1975,1.3968331
Brazil,BRA,1976,1.4027971
Brazil,BRA,1977,1.4384314
Brazil,BRA,1978,1.5321431
Brazil,BRA,1979,1.5862972
Brazil,BRA,1980,1.5361323
Brazil,BRA,1981,1.3809458
Brazil,BRA,1982,1.3512089
Brazil,BRA,1983,1.2782162
Brazil,BRA,1984,1.2631456
Brazil,BRA,1985,1.3290776
Brazil,BRA,1986,1.4257884
Brazil,BRA,1987,1.4596772
Brazil,BRA,1988,1.4440695
Brazil,BRA,1989,1.4475546
Brazil,BRA,1990,1.4660941
Brazil,BRA,1991,1.5119139
Brazil,BRA,1992,1.514185
Brazil,BRA,1993,1.5581279
Brazil,BRA,1994,1.5948387
Brazil,BRA,1995,1.6612229
Brazil,BRA,1996,1.7619154
Brazil,BRA,1997,1.8417492
Brazil,BRA,1998,1.8760916
Brazil,BRA,1999,1.9066247
Brazil,BRA,2000,1.9548694
Brazil,BRA,2001,1.9634919
Brazil,BRA,2002,1.9482254
Brazil,BRA,2003,1.9080936
Brazil,BRA,2004,1.9785614
Brazil,BRA,2005,1.9728992
Brazil,BRA,2006,1.9762384
Brazil,BRA,2007,2.0714304
Brazil,BRA,2008,2.1675887
Brazil,BRA,2009,2.0292332
Brazil,BRA,2010,2.2729201
Brazil,BRA,2011,2.3687463
Brazil,BRA,2012,2.531079
Brazil,BRA,2013,2.6825
Brazil,BRA,2014,2.7883182
Brazil,BRA,2015,2.6247756
Brazil,BRA,2016,2.4247248
Brazil,BRA,2017,2.4340892
Brazil,BRA,2018,2.3210201
Brazil,BRA,2019,2.2818863
Brazil,BRA,2020,2.1336446
Brazil,BRA,2021,2.3765984
Brazil,BRA,2022,2.3006458
Brazil,BRA,2023,2.3040087
China,CHN,1907,0.04840261
China,CHN,1908,0.055020537
China,CHN,1909,0.058310255
China,CHN,1910,0.059680074
China,CHN,1911,0.05827084
China,CHN,1912,0.039898846
China,CHN,1913,0.056213327
China,CHN,1914,0.061269186
China,CHN,1915,0.057669863
China,CHN,1916,0.0676246
China,CHN,1917,0.071104296
China,CHN,1918,0.07631273
China,CHN,1919,0.08266413
China,CHN,1920,0.08693245
China,CHN,1921,0.083120845
China,CHN,1922,0.08528475
China,CHN,1923,0.09890104
China,CHN,1924,0.103484906
China,CHN,1925,0.09701566
China,CHN,1926,0.09184579
China,CHN,1927,0.09602494
China,CHN,1928,0.09940985
China,CHN,1929,0.10044768
China,CHN,1930,0.102641396
China,CHN,1931,0.10696789
China,CHN,1932,0.10303524
China,CHN,1933,0.110256605
China,CHN,1934,0.12636147
China,CHN,1935,0.1462837
China,CHN,1936,0.15108936
China,CHN,1937,0.141227
China,CHN,1938,0.12139731
China,CHN,1939,0.14638789
China,CHN,1940,0.17756674
China,CHN,1941,0.22169025
China,CHN,1942,0.24687532
China,CHN,1943,0.20974888
China,CHN,1944,0.19717897
China,CHN,1945,0.1064322
China,CHN,1946,0.06839545
China,CHN,1947,0.078831576
China,CHN,1948,0.07197712
China,CHN,1949,0.11541034
China,CHN,1950,0.144906
China,CHN,1951,0.18440396
China,CHN,1952,0.22649479
China,CHN,1953,0.23163575
China,CHN,1954,0.27262098
China,CHN,1955,0.31566963
China,CHN,1956,0.3500462
China,CHN,1957,0.40577844
China,CHN,1958,0.81434524
China,CHN,1959,1.1033285
China,CHN,1960,1.2199105
China,CHN,1961,0.8701636
China,CHN,1962,0.6910784
China,CHN,1963,0.6672671
China,CHN,1964,0.653573
China,CHN,1965,0.69156134
China,CHN,1966,0.74011
China,CHN,1967,0.60474396
China,CHN,1968,0.63444245
China,CHN,1969,0.7575773
China,CHN,1970,0.98134804
China,CHN,1971,1.0771736
China,CHN,1972,1.1215358
China,CHN,1973,1.1424416
China,CHN,1974,1.1419429
China,CHN,1975,1.2915547
China,CHN,1976,1.3182049
China,CHN,1977,1.4210548
China,CHN,1978,1.5612195
China,CHN,1979,1.5740018
China,CHN,1980,1.5200888
China,CHN,1981,1.4798603
China,CHN,1982,1.5850471
China,CHN,1983,1.6463653
China,CHN,1984,1.7673312
China,CHN,1985,1.8853257
China,CHN,1986,1.9533491
China,CHN,1987,2.0595717
China,CHN,1988,2.175213
China,CHN,1989,2.1725519
China,CHN,1990,2.1540327
China,CHN,1991,2.2259324
China,CHN,1992,2.3052905
China,CHN,1993,2.4401822
China,CHN,1994,2.5671885
China,CHN,1995,2.755138
China,CHN,1996,2.8505082
China,CHN,1997,2.8325534
China,CHN,1998,2.6898472
China,CHN,1999,2.822838
China,CHN,2000,2.8743546
China,CHN,2001,2.9158025
China,CHN,2002,3.1884
China,CHN,2003,3.7397096
China,CHN,2004,4.0068736
China,CHN,2005,4.4900646
China,CHN,2006,4.927211
China,CHN,2007,5.2673674
China,CHN,2008,5.624066
China,CHN,2009,5.8777986
China,CHN,2010,6.378234
China,CHN,2011,7.0077763
China,CHN,2012,7.140667
China,CHN,2013,7.219921
China,CHN,2014,7.19784
China,CHN,2015,7.0648346
China,CHN,2016,6.953239
China,CHN,2017,7.084865
China,CHN,2018,7.2818375
China,CHN,2019,7.5264
China,CHN,2020,7.6471825
China,CHN,2021,8.025529
China,CHN,2022,7.9642863
China,CHN,2023,8.366814
European Union (27),,1800,0.009118063
European Union (27),,1801,0.007378109
European Union (27),,1802,0.07226808
European Union (27),,1803,0.007426314
European Union (27),,1804,0.026974672
European Union (27),,1805,0.011867919
European Union (27),,1806,0.01066949
European Union (27),,1807,0.023525918
European Union (27),,1808,0.010114886
European Union (27),,1809,0.010078469
European Union (27),,1810,0.02616926
European Union (27),,1811,0.025298532
European Union (27),,1812,0.025235424
European Union (27),,1813,0.023221593
European Union (27),,1814,0.024160666
European Union (27),,1815,0.02733594
European Union (27),,1816,0.038126983
European Union (27),,1817,0.046199854
European Union (27),,1818,0.046231378
European Union (27),,1819,0.045954663
European Union (27),,1820,0.049088627
European Union (27),,1821,0.051145405
European Union (27),,1822,0.053013325
European Union (27),,1823,0.057129394
European Union (27),,1824,0.05442937
European Union (27),,1825,0.064262256
European Union (27),,1826,0.06329052
European Union (27),,1827,0.07713854
European Union (27),,1828,0.07785404
European Union (27),,1829,0.069772236
European Union (27),,1830,0.11779541
European Union (27),,1831,0.1006049
European Union (27),,1832,0.09994153
European Union (27),,1833,0.106958486
European Union (27),,1834,0.11695608
European Union (27),,1835,0.123764336
European Union (27),,1836,0.1389793
European Union (27),,1837,0.1497476
European Union (27),,1838,0.15775809
European Union (27),,1839,0.16318744
European Union (27),,1840,0.1838064
European Union (27),,1841,0.19667633
European Union (27),,1842,0.21046594
European Union (27),,1843,0.20249647
European Union (27),,1844,0.2162059
European Union (27),,1845,0.24478117
European Union (27),,1846,0.27306446
European Union (27),,1847,0.29568374
European Union (27),,1848,0.26072177
European Union (27),,1849,0.267746
European Union (27),,1850,0.29367307
European Union (27),,1851,0.30881193
European Union (27),,1852,0.34458375
European Union (27),,1853,0.3794828
European Union (27),,1854,0.4364805
European Union (27),,1855,0.47893363
European Union (27),,1856,0.5055413
European Union (27),,1857,0.52390903
European Union (27),,1858,0.54908764
European Union (27),,1859,0.5363305
European Union (27),,1860,0.57757306
European Union (27),,1861,0.63120353
European Union (27),,1862,0.6791382
European Union (27),,1863,0.70214206
European Union (27),,1864,0.7548139
European Union (27),,1865,0.81432587
European Union (27),,1866,0.83146226
European Union (27),,1867,0.8859078
European Union (27),,1868,0.92353666
European Union (27),,1869,0.956313
European Union (27),,1870,0.9537504
European Union (27),,1871,1.0116377
European Union (27),,1872,1.116309
European Union (27),,1873,1.1867645
European Union (27),,1874,1.0310261
European Union (27),,1875,1.185013
European Union (27),,1876,1.2293643
European Union (27),,1877,1.1910022
European Union (27),,1878,1.2217522
European Union (27),,1879,1.2841516
European Union (27),,1880,1.4749632
European Union (27),,1881,1.4700406
European Union (27),,1882,1.5426388
European Union (27),,1883,1.6354663
European Union (27),,1884,1.6396893
European Union (27),,1885,1.6478387
European Union (27),,1886,1.643479
European Union (27),,1887,1.7089815
European Union (27),,1888,1.8251013
European Union (27),,1889,1.9090344
European Union (27),,1890,2.0078378
European Union (27),,1891,2.0743172
European Union (27),,1892,2.0271356
European Union (27),,1893,2.045743
European Union (27),,1894,2.132628
European Union (27),,1895,2.1811452
European Union (27),,1896,2.2920635
European Union (27),,1897,2.4061942
European Union (27),,1898,2.4935224
European Union (27),,1899,2.605853
European Union (27),,1900,2.7504094
European Union (27),,1901,2.7184482
European Union (27),,1902,2.645613
European Union (27),,1903,2.7987404
European Union (27),,1904,2.8274736
European Union (27),,1905,2.9462686
European Union (27),,1906,2.9819446
European Union (27),,1907,3.3753922
European Union (27),,1908,3.4709468
European Union (27),,1909,3.4223862
European Union (27),,1910,3.4691787
European Union (27),,1911,3.5290425
European Union (27),,1912,3.7791145
European Union (27),,1913,4.071703
European Union (27),,1914,3.4864995
European Union (27),,1915,3.2008977
European Union (27),,1916,3.367554
European Union (27),,1917,3.3428533
European Union (27),,1918,3.150357
European Union (27),,1919,2.4475107
European Union (27),,1920,3.0597284
European Union (27),,1921,3.1610403
European Union (27),,1922,3.224193
European Union (27),,1923,2.8678937
European Union (27),,1924,3.4549859
European Union (27),,1925,3.4658186
European Union (27),,1926,3.3222628
European Union (27),,1927,3.7039783
European Union (27),,1928,3.759519
European Union (27),,1929,4.096304
European Union (27),,1930,3.6959293
European Union (27),,1931,3.3049288
European Union (27),,1932,2.9013004
European Union (27),,1933,2.9722476
European Union (27),,1934,3.1831827
European Union (27),,1935,3.311232
European Union (27),,1936,3.4292347
European Union (27),,1937,3.8353462
European Union (27),,1938,3.8504226
European Union (27),,1939,3.941259
European Union (27),,1940,4.082122
European Union (27),,1941,4.0096703
European Union (27),,1942,4.0595922
European Union (27),,1943,4.086837
European Union (27),,1944,3.4969833
European Union (27),,1945,1.5091183
European Union (27),,1946,2.599749
European Union (27),,1947,3.0399096
European Union (27),,1948,3.3537977
European Union (27),,1949,3.6958723
European Union (27),,1950,3.8939776
European Union (27),,1951,4.325158
European Union (27),,1952,4.4649744
European Union (27),,1953,4.5135183
European Union (27),,1954,4.761154
European Union (27),,1955,5.1094565
European Union (27),,1956,5.4292383
European Union (27),,1957,5.5551286
European Union (27),,1958,5.460765
European Union (27),,1959,5.4975877
European Union (27),,1960,5.8999124
European Union (27),,1961,6.1299424
European Union (27),,1962,6.5081983
European Union (27),,1963,6.8882647
European Union (27),,1964,7.1882463
European Union (27),,1965,7.218554
European Union (27),,1966,7.3803062
European Union (27),,1967,7.4910903
European Union (27),,1968,7.8952146
European Union (27),,1969,8.3569355
European Union (27),,1970,8.667849
European Union (27),,1971,8.856128
European Union (27),,1972,9.124801
European Union (27),,1973,9.503384
European Union (27),,1974,9.396164
European Union (27),,1975,9.164586
European Union (27),,1976,9.812263
European Union (27),,1977,9.668044
European Union (27),,1978,9.946891
European Union (27),,1979,10.170706
European Union (27),,1980,10.029868
European Union (27),,1981,9.458792
European Union (27),,1982,9.201722
European Union (27),,1983,9.071424
European Union (27),,1984,9.133937
European Union (27),,1985,9.251053
European Union (27),,1986,9.1897955
European Union (27),,1987,9.241755
European Union (27),,1988,9.120197
European Union (27),,1989,9.175288
European Union (27),,1990,9.214598
European Union (27),,1991,9.027587
European Union (27),,1992,8.696673
European Union (27),,1993,8.507024
European Union (27),,1994,8.441406
European Union (27),,1995,8.537151
European Union (27),,1996,8.729384
European Union (27),,1997,8.564151
European Union (27),,1998,8.541549
European Union (27),,1999,8.408397
European Union (27),,2000,8.419039
European Union (27),,2001,8.532679
European Union (27),,2002,8.508337
European Union (27),,2003,8.659959
European Union (27),,2004,8.645041
European Union (27),,2005,8.596072
European Union (27),,2006,8.61288
European Union (27),,2007,8.472536
European Union (27),,2008,8.26802
European Union (27),,2009,7.574756
European Union (27),,2010,7.7711906
European Union (27),,2011,7.536311
European Union (27),,2012,7.3700943
European Union (27),,2013,7.1770205
European Union (27),,2014,6.8592596
European Union (27),,2015,6.9715643
European Union (27),,2016,6.952579
European Union (27),,2017,6.994051
European Union (27),,2018,6.8305554
European Union (27),,2019,6.492865
European Union (27),,2020,5.8676276
European Union (27),,2021,6.256661
European Union (27),,2022,6.1010814
European Union (27),,2023,5.571019
France,FRA,1802,0.076622
France,FRA,1804,0.07393558
France,FRA,1810,0.070469946
France,FRA,1811,0.067903295
France,FRA,1812,0.07308623
France,FRA,1813,0.06727743
France,FRA,1814,0.06846539
France,FRA,1815,0.076333165
France,FRA,1816,0.08116601
France,FRA,1817,0.086080305
France,FRA,1818,0.07678174
France,FRA,1819,0.082100935
France,FRA,1820,0.09271228
France,FRA,1821,0.095714025
France,FRA,1822,0.100134835
France,FRA,1823,0.09950061
France,FRA,1824,0.10972901
France,FRA,1825,0.122663274
France,FRA,1826,0.12594925
France,FRA,1827,0.18088658
France,FRA,1828,0.18988127
France,FRA,1829,0.18364692
France,FRA,1830,0.19692379
France,FRA,1831,0.1809741
France,FRA,1832,0.19870651
France,FRA,1833,0.21459202
France,FRA,1834,0.26293486
France,FRA,1835,0.2715916
France,FRA,1836,0.31054175
France,FRA,1837,0.3298498
France,FRA,1838,0.3432477
France,FRA,1839,0.33313882
France,FRA,1840,0.3381736
France,FRA,1841,0.39443934
France,FRA,1842,0.41288608
France,FRA,1843,0.411831
France,FRA,1844,0.43019587
France,FRA,1845,0.50076497
France,FRA,1846,0.5180938
France,FRA,1847,0.5803729
France,FRA,1848,0.4628796
France,FRA,1849,0.48037285
France,FRA,1850,0.5401483
France,FRA,1851,0.5501596
France,FRA,1852,0.59067684
France,FRA,1853,0.6923327
France,FRA,1854,0.79631627
France,FRA,1855,0.8994212
France,FRA,1856,0.9397137
France,FRA,1857,0.9551182
France,FRA,1858,0.9344241
France,FRA,1859,0.9428659
France,FRA,1860,1.0249465
France,FRA,1861,1.1057359
France,FRA,1862,1.1638623
France,FRA,1863,1.1783826
France,FRA,1864,1.2454354
France,FRA,1865,1.3076444
France,FRA,1866,1.4167037
France,FRA,1867,1.431795
France,FRA,1868,1.4608666
France,FRA,1869,1.4943383
France,FRA,1870,1.3234235
France,FRA,1871,1.3137927
France,FRA,1872,1.5900015
France,FRA,1873,1.71633
France,FRA,1874,1.6306893
France,FRA,1875,1.6966279
France,FRA,1876,1.6970373
France,FRA,1877,1.6577271
France,FRA,1878,1.6892104
France,FRA,1879,1.7456038
France,FRA,1880,1.9661164
France,FRA,1881,2.009875
France,FRA,1882,2.1170962
France,FRA,1883,2.215497
France,FRA,1884,2.1234424
France,FRA,1885,2.0371127
France,FRA,1886,2.016362
France,FRA,1887,2.119315
France,FRA,1888,2.2001383
France,FRA,1889,2.2501442
France,FRA,1890,2.474375
France,FRA,1891,2.474684
France,FRA,1892,2.4748344
France,FRA,1893,2.4268293
France,FRA,1894,2.564161
France,FRA,1895,2.583201
France,FRA,1896,2.6682394
France,FRA,1897,2.7900133
France,FRA,1898,2.8815835
France,FRA,1899,3.0096476
France,FRA,1900,3.2303777
France,FRA,1901,3.1198537
France,FRA,1902,2.9330056
France,FRA,1903,3.2201838
France,FRA,1904,3.1330132
France,FRA,1905,3.1646204
France,FRA,1906,3.3874516
France,FRA,1907,3.6069126
France,FRA,1908,3.630096
France,FRA,1909,3.7144277
France,FRA,1910,3.7331283
France,FRA,1911,3.900818
France,FRA,1912,3.9597802
France,FRA,1913,4.297789
France,FRA,1914,2.9899921
France,FRA,1915,2.6233315
France,FRA,1916,2.8037076
France,FRA,1917,3.1264672
France,FRA,1918,2.8037887
France,FRA,1919,3.0121102
France,FRA,1920,3.9392464
France,FRA,1921,3.5732992
France,FRA,1922,4.210048
France,FRA,1923,4.722255
France,FRA,1924,5.263511
France,FRA,1925,5.411551
France,FRA,1926,5.3742137
France,FRA,1927,5.3222127
France,FRA,1928,5.25259
France,FRA,1929,5.7868476
France,FRA,1930,5.850423
France,FRA,1931,5.345493
France,FRA,1932,4.712864
France,FRA,1933,4.907161
France,FRA,1934,4.962797
France,FRA,1935,4.8225775
France,FRA,1936,4.8966165
France,FRA,1937,5.389734
France,FRA,1938,5.0033183
France,FRA,1939,4.8274617
France,FRA,1940,3.4146125
France,FRA,1941,2.9683535
France,FRA,1942,3.0239975
France,FRA,1943,3.0806637
France,FRA,1944,1.9602842
France,FRA,1945,2.616853
France,FRA,1946,4.0204406
France,FRA,1947,4.4513903
France,FRA,1948,4.7462525
France,FRA,1949,5.5062785
France,FRA,1950,4.829598
France,FRA,1951,5.4030056
France,FRA,1952,5.305868
France,FRA,1953,4.9631915
France,FRA,1954,5.182416
France,FRA,1955,5.4146566
France,FRA,1956,6.0217137
France,FRA,1957,6.16162
France,FRA,1958,5.8503675
France,FRA,1959,5.6977515
France,FRA,1960,6.3884144
France,FRA,1961,6.743317
France,FRA,1962,7.0424156
France,FRA,1963,7.0806637
France,FRA,1964,7.647903
France,FRA,1965,7.467896
France,FRA,1966,7.7491465
France,FRA,1967,8.179463
France,FRA,1968,8.390319
France,FRA,1969,8.8229065
France,FRA,1970,9.079115
France,FRA,1971,9.639252
France,FRA,1972,9.952634
France,FRA,1973,10.347944
France,FRA,1974,9.940175
France,FRA,1975,9.162185
France,FRA,1976,9.903008
France,FRA,1977,9.551621
France,FRA,1978,9.917869
France,FRA,1979,9.937479
France,FRA,1980,9.495874
France,FRA,1981,8.487524
France,FRA,1982,8.089863
France,FRA,1983,7.732914
France,FRA,1984,7.4881167
France,FRA,1985,7.325313
France,FRA,1986,7.021127
France,FRA,1987,6.937787
France,FRA,1988,6.857584
France,FRA,1989,7.0623293
France,FRA,1990,6.9085035
France,FRA,1991,7.296101
France,FRA,1992,7.0770025
France,FRA,1993,6.7074523
France,FRA,1994,6.5654125
France,FRA,1995,6.629924
France,FRA,1996,6.8885245
France,FRA,1997,6.7415757
France,FRA,1998,7.0307403
France,FRA,1999,6.9734507
France,FRA,2000,6.8277373
France,FRA,2001,6.8515906
France,FRA,2002,6.7290745
France,FRA,2003,6.7823057
France,FRA,2004,6.7573004
France,FRA,2005,6.7471786
France,FRA,2006,6.5456576
France,FRA,2007,6.3430223
France,FRA,2008,6.1977158
France,FRA,2009,5.876987
France,FRA,2010,5.936185
France,FRA,2011,5.560235
France,FRA,2012,5.5642834
France,FRA,2013,5.5709805
France,FRA,2014,5.0522456
France,FRA,2015,5.106422
France,FRA,2016,5.1346755
France,FRA,2017,5.1635537
France,FRA,2018,4.9136443
France,FRA,2019,4.792605
France,FRA,2020,4.255957
France,FRA,2021,4.6245584
France,FRA,2022,4.428381
France,FRA,2023,4.101154
Germany,DEU,1800,0.044171557
Germany,DEU,1801,0.029240523
Germany,DEU,1802,0.029754901
Germany,DEU,1803,0.02830634
Germany,DEU,1804,0.05245813
Germany,DEU,1805,0.053302526
Germany,DEU,1806,0.047273606
Germany,DEU,1807,0.13335954
Germany,DEU,1808,0.043796904
Germany,DEU,1809,0.044674568
Germany,DEU,1810,0.046192635
Germany,DEU,1811,0.04306568
Germany,DEU,1812,0.041702244
Germany,DEU,1813,0.04004199
Germany,DEU,1814,0.039072905
Germany,DEU,1815,0.044824384
Germany,DEU,1816,0.1021735
Germany,DEU,1817,0.14253065
Germany,DEU,1818,0.14646468
Germany,DEU,1819,0.13376212
Germany,DEU,1820,0.1361196
Germany,DEU,1821,0.1402481
Germany,DEU,1822,0.14235331
Germany,DEU,1823,0.15628752
Germany,DEU,1824,0.12372251
Germany,DEU,1825,0.16412507
Germany,DEU,1826,0.15657145
Germany,DEU,1827,0.16771843
Germany,DEU,1828,0.16573869
Germany,DEU,1829,0.13103831
Germany,DEU,1830,0.17101406
Germany,DEU,1831,0.16203187
Germany,DEU,1832,0.12038958
Germany,DEU,1833,0.1513005
Germany,DEU,1834,0.15085933
Germany,DEU,1835,0.16690293
Germany,DEU,1836,0.17388494
Germany,DEU,1837,0.19722018
Germany,DEU,1838,0.21752897
Germany,DEU,1839,0.22798942
Germany,DEU,1840,0.29514763
Germany,DEU,1841,0.3044165
Germany,DEU,1842,0.34398574
Germany,DEU,1843,0.32294974
Germany,DEU,1844,0.33847037
Germany,DEU,1845,0.38910353
Germany,DEU,1846,0.40357685
Germany,DEU,1847,0.42012787
Germany,DEU,1848,0.38629287
Germany,DEU,1849,0.40705645
Germany,DEU,1850,0.4490097
Germany,DEU,1851,0.49647328
Germany,DEU,1852,0.5601497
Germany,DEU,1853,0.60221237
Germany,DEU,1854,0.70180196
Germany,DEU,1855,0.8183968
Germany,DEU,1856,0.87816346
Germany,DEU,1857,0.92877984
Germany,DEU,1858,0.9969994
Germany,DEU,1859,0.9394867
Germany,DEU,1860,1.003471
Germany,DEU,1861,1.1302289
Germany,DEU,1862,1.2347139
Germany,DEU,1863,1.3269968
Germany,DEU,1864,1.5084821
Germany,DEU,1865,1.6752176
Germany,DEU,1866,1.6456321
Germany,DEU,1867,1.7929425
Germany,DEU,1868,1.9109488
Germany,DEU,1869,1.9752913
Germany,DEU,1870,1.9321979
Germany,DEU,1871,2.1301944
Germany,DEU,1872,2.2750201
Germany,DEU,1873,2.4034545
Germany,DEU,1874,1.7304846
Germany,DEU,1875,2.4273689
Germany,DEU,1876,2.446672
Germany,DEU,1877,2.370372
Germany,DEU,1878,2.4199347
Germany,DEU,1879,2.538891
Germany,DEU,1880,2.8224943
Germany,DEU,1881,3.013424
Germany,DEU,1882,3.1931138
Germany,DEU,1883,3.3704581
Germany,DEU,1884,3.4352546
Germany,DEU,1885,3.481745
Germany,DEU,1886,3.4883993
Germany,DEU,1887,3.611334
Germany,DEU,1888,3.9121675
Germany,DEU,1889,4.1315155
Germany,DEU,1890,4.27808
Germany,DEU,1891,4.48249
Germany,DEU,1892,4.307531
Germany,DEU,1893,4.3616033
Germany,DEU,1894,4.473088
Germany,DEU,1895,4.580699
Germany,DEU,1896,4.858754
Germany,DEU,1897,5.115586
Germany,DEU,1898,5.2635717
Germany,DEU,1899,5.5158305
Germany,DEU,1900,5.8584833
Germany,DEU,1901,5.752767
Germany,DEU,1902,5.5575953
Germany,DEU,1903,5.893571
Germany,DEU,1904,6.0174766
Germany,DEU,1905,6.3640666
Germany,DEU,1906,5.935062
Germany,DEU,1907,7.143025
Germany,DEU,1908,7.10769
Germany,DEU,1909,7.010511
Germany,DEU,1910,6.9526906
Germany,DEU,1911,7.1282573
Germany,DEU,1912,7.752086
Germany,DEU,1913,8.3334255
Germany,DEU,1914,7.776015
Germany,DEU,1915,7.2489376
Germany,DEU,1916,7.8622327
Germany,DEU,1917,8.25984
Germany,DEU,1918,7.9522567
Germany,DEU,1919,6.1275907
Germany,DEU,1920,6.7833967
Germany,DEU,1921,7.458013
Germany,DEU,1922,7.145081
Germany,DEU,1923,5.1726303
Germany,DEU,1924,6.9938426
Germany,DEU,1925,7.0439167
Germany,DEU,1926,6.312412
Germany,DEU,1927,7.301617
Germany,DEU,1928,7.61232
Germany,DEU,1929,8.073647
Germany,DEU,1930,6.871657
Germany,DEU,1931,5.700178
Germany,DEU,1932,5.096256
Germany,DEU,1933,5.315258
Germany,DEU,1934,5.9089975
Germany,DEU,1935,6.495202
Germany,DEU,1936,7.124051
Germany,DEU,1937,7.9784474
Germany,DEU,1938,8.4533
Germany,DEU,1939,9.071787
Germany,DEU,1940,9.120772
Germany,DEU,1941,9.196745
Germany,DEU,1942,9.298256
Germany,DEU,1943,9.478794
Germany,DEU,1944,8.392185
Germany,DEU,1945,1.626086
Germany,DEU,1946,3.8143752
Germany,DEU,1947,4.4693284
Germany,DEU,1948,5.3269467
